"Marketplace ID","Merchant ID","Order Date","Transaction Type","Is Invoice Corrected","Order ID","Shipment Date","Shipment ID","Transaction ID",ASIN,SKU,Quantity,"Tax Calculation Date","Tax Rate","Product Tax Code",Currency,"Tax Type","Tax Calculation Reason Code","Tax Reporting Scheme","Tax Collection Responsibility","Tax Address Role","Jurisdiction Level","Jurisdiction Name","OUR_PRICE Tax Inclusive Selling Price","OUR_PRICE Tax Amount","OUR_PRICE Tax Exclusive Selling Price","OUR_PRICE Tax Inclusive Promo Amount","OUR_PRICE Tax Amount Promo","OUR_PRICE Tax Exclusive Promo Amount","SHIPPING Tax Inclusive Selling Price","SHIPPING Tax Amount","SHIPPING Tax Exclusive Selling Price","SHIPPING Tax Inclusive Promo Amount","SHIPPING Tax Amount Promo","SHIPPING Tax Exclusive Promo Amount","GIFTWRAP Tax Inclusive Selling Price","GIFTWRAP Tax Amount","GIFTWRAP Tax Exclusive Selling Price","GIFTWRAP Tax Inclusive Promo Amount","GIFTWRAP Tax Amount Promo","GIFTWRAP Tax Exclusive Promo Amount","Seller Tax Registration","Seller Tax Registration Jurisdiction","Buyer Tax Registration","Buyer Tax Registration Jurisdiction","Buyer Tax Registration Type","Buyer E Invoice Account Id","Invoice Level Currency Code","Invoice Level Exchange Rate","Invoice Level Exchange Rate Date","Converted Tax Amount","VAT Invoice Number","Invoice Url","Export Outside EU","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship From Tax Location Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Ship To Location Code","Return Fc Country","Is Amazon Invoiced","Original VAT Invoice Number","Invoice Correction Details","SDI Invoice Delivery Status","SDI Invoice Error Code","SDI Invoice Error Description","SDI Invoice Status Last Updated Date","EInvoice URL"
FR,16912242125,"27-Jun-2021 UTC",SHIPMENT,FALSE,407-9602337-9338723,"28-Jun-2021 UTC",27554531370302,27554531370302,B07RQVSG2Z,HE-1YX5-DPFG,1,"27-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,15.90,2.65,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-224","https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a04ef520c-a604-4071-8119-08cc8f1bd558&t=EU_Retail_Forward",false,"Brétigny sur Orge",France,FR,91220,802500000,Courbevoie,,FR,92400,802500000,,true,,,,,,,
FR,16912242125,"19-Jun-2021 UTC",SHIPMENT,FALSE,171-7687985-7658708,"21-Jun-2021 UTC",31037423434302,31037423434302,B07RQVSG2Z,HE-1YX5-DPFG,1,"19-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,15.90,2.65,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,INV-FR-168086141-2021-63,"https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a95493138-f736-490c-b9cb-20704f7725ca&t=EU_Retail_Forward",false,"SEVREY CEDEX",Bourgogne-Franche-Comte,FR,71311,802500000,Ambillou,"Centre / Indre et Loire",FR,37340,802500000,,true,,,,,,,
FR,16912242125,"28-Jun-2021 UTC",SHIPMENT,FALSE,405-7786884-4196323,"29-Jun-2021 UTC",31568021911302,31568021911302,B07RQVSG2Z,HE-1YX5-DPFG,2,"29-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,31.80,5.30,26.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-265","https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a2f58fca1-1d33-4b8f-b712-41b79693b409&t=EU_Retail_Forward",false,"MONTELIMAR CEDEX",Montelimar,FR,26132,802500000,"Le Chesnay",,FR,78150,802500000,,true,,,,,,,
FR,16912242125,"30-Jun-2021 UTC",SHIPMENT,FALSE,404-2835388-5993900,"30-Jun-2021 UTC",26387516951302,26387516951302,B08HKGXFNX,PhotoMagnet10,1,"30-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,15.90,2.65,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-294","https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a4e152b01-1e87-462f-9a53-205b2937e15a&t=EU_Retail_Forward",false,"LAUWIN PLANQUE CEDEX",Hauts-de-France,FR,59353,802500000,FELLETIN,,FR,23500,802500000,,true,,,,,,,
IT,16912242125,"28-Jun-2021 UTC",SHIPMENT,FALSE,403-6575861-4353127,"28-Jun-2021 UTC",31116195159302,31116195159302,B085B8YPR2,kalixo-LC250ml,1,"28-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipFrom,Country,FRANCE,15.90,2.65,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-250","https://www.Amazon.it/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a6ff15550-7beb-4fda-ac6a-4e58766d6dd3&t=EU_Retail_Forward",false,"LAUWIN PLANQUE CEDEX",Hauts-de-France,FR,59353,802500000,L’aquila,Aq,IT,67100,803800000,,true,,,,,,,
FR,16912242125,"24-Jun-2021 UTC",SHIPMENT,FALSE,402-2207877-8354742,"24-Jun-2021 UTC",31084948837302,31084948837302,B08HKGXFNX,PhotoMagnet10,1,"24-Jun-2021 UTC",0.00,A_GEN_STANDARD,EUR,VAT,NonTaxable,,Seller,ShipFrom,Country,ITALY,15.90,0.00,15.90,0.00,0.00,0.00,2.49,0.00,2.49,-2.49,0.00,-2.49,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,,0.00,DOC-168086141-2021-11,"https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3ac2169526-470a-4bda-85aa-0e47f9760698&t=EU_3P_Supplier_Forward",false,"Passo Corese",RI,IT,02032,803800000,"St Yvi",,FR,29140,802500000,,true,,,,,,,
FR,16912242125,"25-Jun-2021 UTC",SHIPMENT,FALSE,403-2170311-6325155,"25-Jun-2021 UTC",28576170242302,28576170242302,B07RQVSG2Z,HE-1YX5-DPFG,1,"25-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,15.90,2.65,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-185","https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3aa9f4efba-3bd4-47ed-a9eb-b7c0edb49b34&t=EU_Retail_Forward",false,"SARAN CEDEX",FR,FR,45772,802500000,"Roissy en brie",,FR,77680,802500000,,true,,,,,,,
FR,16912242125,"28-Jun-2021 UTC",SHIPMENT,FALSE,402-5741073-0620365,"28-Jun-2021 UTC",31561607695302,31561607695302,B07RQVSG2Z,HE-1YX5-DPFG,3,"28-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,47.70,7.95,39.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-242","https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a66f45814-3fca-470d-a88e-36843253047b&t=EU_Retail_Forward",false,"Brétigny sur Orge",France,FR,91220,802500000,"ATHIS MONS",,FR,91200,802500000,,true,,,,,,,
FR,16912242125,"19-Jun-2021 UTC",SHIPMENT,FALSE,403-0117787-6033108,"20-Jun-2021 UTC",31040524776302,31040524776302,B07RQVSG2Z,HE-1YX5-DPFG,1,"19-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,15.90,2.65,13.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,INV-FR-168086141-2021-46,"https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a8653c576-25b9-4a46-8427-174eceb72017&t=EU_Retail_Forward",false,"SEVREY CEDEX",Bourgogne-Franche-Comte,FR,71311,802500000,Lyon,,FR,69002,802500000,,true,,,,,,,
FR,16912242125,"22-Jun-2021 UTC",SHIPMENT,FALSE,406-7525593-9973927,"23-Jun-2021 UTC",31475069527302,31475069527302,B07KSD6NXZ,"Kalibel-ProtegeToilettesx5",1,"22-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,14.90,2.48,12.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-119","https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3ac6409a6a-a898-4408-b6ff-01a1c767bca2&t=EU_Retail_Forward",false,"Brétigny sur Orge",France,FR,91220,802500000,"Neuilly Sur Seine",,FR,92200,802500000,,true,,,,,,,
FR,16912242125,"24-Jun-2021 UTC",SHIPMENT,FALSE,406-4063846-7173944,"24-Jun-2021 UTC",28569301867302,28569301867302,B07G8N7198,"SdCpL-CremeFigueBarbarie200ml",1,"24-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,25.90,4.32,21.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-154","https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a2e6f3c6e-5633-4923-9c11-73a5b0f5e487&t=EU_Retail_Forward",false,"LAUWIN PLANQUE CEDEX",Hauts-de-France,FR,59353,802500000,"Fontenay aux roses",,FR,92260,802500000,,true,,,,,,,
FR,16912242125,"30-Jun-2021 UTC",SHIPMENT,FALSE,408-9618407-4968307,"30-Jun-2021 UTC",31587375647302,31587375647302,B07KSD6NXZ,"Kalibel-ProtegeToilettesx5",2,"30-Jun-2021 UTC",0.20,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,FRANCE,29.80,4.96,24.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FR94899420079,FR,,,,,,0.00,,0.00,"INV-FR-168086141-2021-298","https://www.Amazon.fr/gp/invoice/download.html?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a819e5f88-06e4-4643-8874-455018f1cbd4&t=EU_Retail_Forward",false,"Brétigny sur Orge",France,FR,91220,802500000,"Pont évêque",,FR,38780,802500000,,true,,,,,,,
